Product Name,Description,Price,Currency,Reference_number,URL
"Bracelet LOVE, petit modèle, pavé","Or gris, diamants""}",31600.0,EUR,CRN6726517,https://www.cartier.com/fr-fr/bracelet-love-petit-modele-pave_cod1647597357220283.html#dept=EU_Love
"Bracelet LOVE, petit modèle, 10 diamants","Or gris, diamants""}",11000.0,EUR,CRB6079817,https://www.cartier.com/fr-fr/bracelet-love-petit-modele-10-diamants_cod1647597357218608.html#dept=EU_Love
"Bague LOVE, petit modèle","Or jaune""}",1350.0,EUR,CRB4085000,https://www.cartier.com/fr-fr/bague-love-petit-modele_cod1647597332270633.html#dept=EU_Love
"Bague LOVE, mini modèle, pavée","Or jaune, diamants""}",5350.0,EUR,CRB4218000,https://www.cartier.com/fr-fr/bague-love-mini-modele-pavee_cod25372685655711370.html#dept=EU_Love
"Créoles LOVE, modèle classique","Or jaune""}",3950.0,EUR,CRB8022500,https://www.cartier.com/fr-fr/creoles-love-modele-classique_cod25372685655706695.html#dept=EU_Love
"Mono boucle d'oreille LOVE, semi-pavée","Or jaune, diamants""}",5400.0,EUR,CRN8515243,https://www.cartier.com/fr-fr/mono-boucle-d-oreille-love-semi-pavee_cod1647597342120994.html#dept=EU_Love
"Bracelet LOVE, petit modèle, 10 diamants","Or jaune, diamants""}",10300.0,EUR,CRB6079717,https://www.cartier.com/fr-fr/bracelet-love-petit-modele-10-diamants_cod1647597357221626.html#dept=EU_Love
"Bracelet LOVE, petit modèle, 6 diamants","Or jaune, diamants""}",7600.0,EUR,CRB6079417,https://www.cartier.com/fr-fr/bracelet-love-petit-modele-6-diamants_cod1647597357221572.html#dept=EU_Love
"Bracelet LOVE, sur chaîne, pavé","Or rose, diamants""}",5700.0,EUR,CRB6084500,https://www.cartier.com/fr-fr/bracelet-love-sur-chaine-pave_cod1647597357217860.html#dept=EU_Love
"Pendentif LOVE, semi-pavé","Or rose, diamants""}",5350.0,EUR,CRB7013900,https://www.cartier.com/fr-fr/pendentif-love-semi-pave_cod25372685655706619.html#dept=EU_Love
"Bague Juste un Clou, petit modèle, diamants","Or jaune, diamants""}",3000.0,EUR,CRB4244900,https://www.cartier.com/fr-fr/bague-juste-un-clou-petit-modele-diamants_cod1647597352457163.html#dept=EU_Juste-Un-Clou
"Bracelet Juste un Clou, modèle classique","Or jaune""}",8650.0,EUR,CRB6048217,https://www.cartier.com/fr-fr/bracelet-juste-un-clou-modele-classique_cod25372685655708173.html#dept=EU_Juste-Un-Clou
